name,from,to
Hadean,6000000000,4000000000
Archean,4000000000,2500000000
Eoarchean,4000000000,3600000000
Paleoarchean,3600000000,3200000000
Mesoarchean,3200000000,2800000000
Neoarch,2800000000,2500000000
Paleoproterozoic,2500000000,1600000000
Siderian,2500000000,2300000000
Rhyacian,2300000000,2050000000
Orosirian,2050000000,1800000000
Statherian,1800000000,1600000000
Mesoproterozoic,1600000000,1000000000
Calymmian,1600000000,1400000000
Ectasian,1400000000,1200000000
Stenian,1200000000,1000000000
Tonian,1000000000,720000000
Cryogenian,720000000,635000000
Ediacaran,635000000,541000000
Cambrian,541000000,485400000
Ordovician,485400000,443800000
Silurian,443800000,419200000
Devonian,419200000,358900000
Carboniferous,358900000,298900000
Permian,298900000,251902000
Triassic,251902000,201300000
Jurassic,201300000,145000000
Cretaceous,145000000,66000000
Maastrichtian,72100000,66000000
Tertiary,66000000,2580000
Paleogene,66000000,23030000
Danian,66000000,61600000
Paleocene,66000000,56000000
Palaeocene,66000000,56000000
Eocene,56000000,33900000
Oligocene,33900000,23030000
Neogene,23030000,2580000
Miocene,23030000,5333000
Pliocene,5333000,2580000
Pleistocene,2580000,11700
Holocene,11700,0